,시가,고가,저가,현재가,거래량
457,371500,375000,363500,366500,263538
458,377000,380000,372500,373500,271394
459,380500,381000,370000,370000,361070
460,380000,383500,377000,380500,283822
461,374000,378000,365000,377000,352196
462,370500,378000,367500,375500,368726
463,368000,377500,366000,368500,440365
464,364500,368000,358000,363500,306447
465,338500,364500,338500,363000,512468
466,338000,340000,332500,337000,109544
467,332500,341000,332500,338500,318155
468,340500,341000,328500,330500,372066
469,352000,352500,343500,343500,162022
470,353000,356500,349500,352000,133191
471,344500,356500,344000,352500,334692
472,345000,348500,339500,345000,244651
473,340000,352500,339500,343500,491113
474,344000,345000,335000,338500,195380
475,345000,350500,342500,344000,164369
476,345500,353500,345000,345500,212479
477,348000,348000,340000,342000,225069
478,350500,353500,346500,348500,185959
479,349000,357500,347000,354500,302609
480,343500,347500,341500,345000,214165
481,339500,344500,337500,340000,189496
482,328500,341500,326500,339500,242892
483,332000,336000,330500,330500,356424
484,340000,344000,340000,341000,194462
485,337000,344500,333500,343000,296458
486,356000,358500,338500,339000,523971
487,351500,361000,351500,360000,155327
488,354000,360000,354000,354500,156968
489,353500,356500,352500,353500,232263
490,370500,370500,350500,352500,496231
491,375000,376500,371500,374500,144778
492,374500,374500,369500,372500,126975
493,376500,378500,372000,372500,140993
494,377500,381000,373500,376000,170308
495,373500,378500,371500,376000,200737
496,367000,369500,366000,368500,117092
497,374000,375000,364000,365000,216512
498,376500,377000,370500,373000,146231
499,373000,379000,369500,378000,262006
500,370000,374000,366500,367000,261589
501,374000,374000,364500,368000,298550
502,375500,378000,373500,376000,142530
503,382500,382500,375500,379000,131831
504,377000,389000,377000,383500,158893
505,381500,384500,373500,376000,180548
506,381500,382000,375500,378500,238504
507,394000,398500,387000,387500,161454
508,390000,391000,385500,385500,103447
509,386500,391000,381500,386000,199377
510,396500,401500,384500,386000,292609
511,404000,408500,402500,403000,127168
512,390500,402000,390500,400000,155289
513,399500,403500,392000,393500,208234
514,413500,416500,407500,409000,131002
515,417000,417500,408000,410000,169621
516,402000,407000,399500,406500,144071
517,419000,419500,404000,405000,140007
518,419000,419000,408500,413500,205744
519,414000,420000,411500,419000,241683
520,415000,419000,410000,411500,199225
521,404500,411500,400500,409500,148046
522,410500,413500,407500,410500,216317
523,387000,408000,383500,406500,364917
524,386000,387000,378000,387000,208588
525,384500,390500,382500,385000,150030
526,379500,387500,377000,387500,159217
527,383500,383500,372500,375000,144653
528,385000,385500,379000,383500,184855
529,394500,397000,383000,383000,184706
530,400000,400500,396000,398000,205730
531,393500,397500,390000,394000,206748
532,380500,389500,378000,389000,242090
533,372500,378500,371500,376500,120813
534,375500,376500,371000,374500,128261
535,384000,384000,375000,376500,117191
536,378000,383500,376500,383500,211347
537,362500,374000,362500,372500,141209
538,375000,376000,361500,364500,249981
539,369500,376500,366500,372000,216955
540,363500,369000,361500,366000,238835
541,375000,381500,369000,374000,335211
542,393000,395000,375000,375000,366880
543,375500,390000,373000,388500,431592
544,392500,393000,388000,390000,395055
545,415000,416000,400000,400500,468545
546,434500,440000,418500,418500,392278
547,432500,435000,421000,432000,212494
548,441500,447500,436000,436000,220050
549,436000,442000,434000,441500,202072
550,436000,443500,430500,435500,134906
551,436000,440500,435000,436500,177052
552,424500,438000,424500,438000,309355
553,420000,423000,417000,423000,132280
554,425500,426000,412000,418000,203541
555,417000,424500,417000,423500,147058
556,420500,423500,415500,417000,161817
557,430500,435000,420500,420500,178216
558,438000,440500,429000,431500,144682
559,426000,441500,425500,437000,212044
560,418500,429000,418500,426000,150523
561,421500,426000,415500,421500,131522
562,427500,428500,416500,416500,126227
563,427500,436500,424000,425500,235552
564,409000,425000,407000,424500,321484
565,396500,405500,395000,405000,154954
566,410000,412000,395000,395500,215698
567,404000,413000,404000,409500,103370
568,407000,415000,406500,411000,153739
569,396500,407000,395000,405000,169517
570,394000,395000,391000,394500,138310
571,393500,395000,392000,392000,267020
572,391500,395000,389500,393500,134256
573,398500,398500,391000,391000,123480
574,396500,398500,395000,398000,142948
575,399500,399500,395500,398500,135439
576,396000,398000,393000,397500,158523
577,395000,397000,393000,394000,197159
578,394000,397000,388000,390000,379926
579,388500,398500,388500,393000,298912
580,399000,400000,388000,390000,270505
581,398500,403500,397500,400000,143139
582,393500,400000,393500,398500,161340
583,405500,407000,395000,397000,257473
584,414000,416000,408500,408500,140456
585,416500,419500,410000,414000,160533
586,414500,422500,413500,420000,180998
587,412000,416000,407000,412000,547839
588,424500,426000,416000,417500,339763
589,419500,425000,419500,422500,149735
590,420000,424500,418000,420500,152850
591,422500,426000,416000,419500,235268
592,424500,426000,421000,423500,154584
593,418000,424000,418000,421500,195782
594,411000,417000,407500,417000,254436
595,409500,413000,408000,413000,205930
596,409000,412500,408000,409500,231641
597,408000,414500,405500,408500,285105
598,397000,406000,392500,405500,248330
599,391000,397000,388500,397000,292227
600,2819000,2837000,2796000,2796000,134500
601,2820000,2840000,2805000,2819000,176133
602,2790000,2827000,2789000,2820000,134976
603,2846000,2846000,2795000,2817000,239881
604,2805000,2853000,2793000,2838000,170404
605,2819000,2846000,2793000,2805000,149291
606,2819000,2825000,2767000,2819000,180019
607,2853000,2857000,2793000,2819000,198716
608,2875000,2876000,2838000,2853000,214421
609,2875000,2875000,2809000,2861000,290205
610,2703000,2772000,2675000,2754000,267631
611,2689000,2716000,2685000,2702000,163923
612,2620000,2666000,2607000,2654000,147850
613,2686000,2695000,2620000,2620000,195531
614,2702000,2721000,2685000,2695000,117657
615,2735000,2739000,2702000,2702000,116121
616,2730000,2732000,2700000,2715000,166221
617,2640000,2705000,2640000,2692000,160541
618,2735000,2735000,2649000,2649000,242174
619,2741000,2762000,2702000,2738000,202215
620,2701000,2769000,2700000,2740000,212156
621,2699000,2743000,2688000,2696000,195399
622,2727000,2742000,2689000,2700000,252033
623,2742000,2758000,2705000,2740000,277814
624,2680000,2738000,2667000,2732000,273043
625,2668000,2682000,2640000,2640000,410396
626,2559000,2581000,2542000,2564000,258188
627,2613000,2623000,2563000,2563000,240509
628,2600000,2610000,2575000,2584000,215940
629,2651000,2656000,2578000,2583000,341144
630,2650000,2684000,2650000,2681000,186062
631,2648000,2680000,2623000,2650000,278448
632,2611000,2648000,2611000,2640000,176796
633,2606000,2625000,2592000,2611000,185855
634,2625000,2632000,2589000,2606000,197008
635,2527000,2624000,2526000,2624000,230499
636,2515000,2528000,2493000,2520000,215146
637,2503000,2516000,2488000,2515000,284095
638,2491000,2520000,2472000,2481000,187140
639,2510000,2511000,2457000,2480000,240595
640,2485000,2509000,2475000,2490000,207495
641,2435000,2459000,2429000,2454000,217860
642,2350000,2411000,2350000,2406000,193530
643,2338000,2359000,2335000,2350000,216221
644,2312000,2345000,2298000,2338000,234322
645,2289000,2318000,2275000,2302000,158870
646,2323000,2332000,2315000,2324000,212834
647,2311000,2332000,2300000,2316000,220234
648,2319000,2320000,2298000,2310000,150260
649,2282000,2304000,2258000,2304000,252473
650,2351000,2362000,2298000,2305000,199242
651,2394000,2394000,2336000,2351000,224871
652,2376000,2383000,2367000,2376000,173149
653,2389000,2389000,2359000,2374000,187694
654,2341000,2358000,2335000,2350000,147635
655,2362000,2362000,2329000,2342000,102069
656,2338000,2362000,2312000,2345000,209559
657,2348000,2365000,2337000,2352000,248317
658,2311000,2319000,2300000,2310000,438273
659,2256000,2270000,2236000,2250000,383712
660,2256000,2265000,2211000,2231000,508146
661,2310000,2316000,2273000,2295000,459723
662,2370000,2370000,2312000,2314000,291108
663,2399000,2413000,2374000,2386000,159592
664,2375000,2404000,2372000,2379000,144365
665,2408000,2409000,2375000,2385000,167184
666,2450000,2450000,2356000,2389000,310816
667,2460000,2467000,2430000,2450000,155549
668,2400000,2442000,2377000,2430000,227390
669,2371000,2412000,2346000,2410000,254028
670,2490000,2490000,2369000,2388000,523366
671,2500000,2532000,2478000,2490000,228990
